lat,long
48.12076,-1.69497
43.15959,2.96585
44.8678,-0.61886
48.88,2.40286
48.87854,2.35028
43.27351,5.38666
48.81424,2.25564
48.20654,5.94769
45.79896,3.04271
45.81908,1.24738
43.43907,6.75154
48.84852,2.3825
44.38826,0.81903
48.68165,2.5395
51.00424,2.38483
48.60046,7.75002
44.6098,2.02909
44.54298,4.29128
47.21037,-1.55368
47.13028,1.00237
45.19278,5.73308
43.93242,3.70306
44.91342,4.90534
44.75534,5.37157
48.72193,2.45275
43.652,1.51241
45.17787,5.76098
45.69016,4.79079
46.78184,4.85015
49.90715,1.07491
48.92669,2.13504
43.13609,5.87434
47.79447,-1.06572
48.57641,7.75098
48.59095,-0.6587
47.84803,-0.95795
44.90464,5.79509
48.74023,-0.57403
48.5472,2.64522
43.59397,6.92434
49.8608,3.26945
43.5659,2.26206
50.29353,3.97781
48.78085,-3.23447
50.73697,2.73699
43.69417,5.49933
48.97357,2.1982
50.10247,1.8316
49.39891,1.09422
49.24116,4.01161
48.32,0.8228
48.49883,4.95167
43.29695,5.57238
45.05847,5.21426
43.68913,7.24123
47.75426,0.87623
48.42944,7.68411
44.78057,6.86764
46.62294,5.23046
49.38567,2.78963
43.64514,0.5989
43.56364,7.00459
43.55995,1.4528
45.56442,5.91094
47.86699,5.3368
45.4144,4.39439
50.37731,3.66577
48.86481,2.35734
48.99187,2.17074
43.58969,-1.43974
43.90139,-0.49752
43.48235,-1.48081
46.97268,-0.18176
48.64695,-0.93925
48.86047,2.27777
48.47634,4.77479
45.13509,-0.65966
48.9806,2.37743
47.76098,7.29128
49.24239,4.03849
43.71175,-1.03993
45.81349,1.23147
46.77705,4.84072
48.72334,-4.00601
43.63033,3.86273
43.37542,-1.75971
43.25864,5.41138
47.24681,-0.06015
49.30733,3.68128
49.03223,1.11516
45.85962,4.83438
45.68852,4.86678
48.18577,-2.20245
43.22514,0.07752
47.26095,1.34799
43.45567,2.00417
46.12311,3.43568
48.88907,2.19778
47.32078,5.06985
50.1046,3.53407
49.34835,0.51486
48.57086,-4.31895
45.81791,3.02433
44.37545,4.64678
46.12419,1.06212
48.0753,7.33727
44.05885,6.1481
50.71574,3.15671
49.50086,0.12223
43.70092,-0.85271
46.55243,0.39281
48.42328,-4.55947
48.70117,6.14382
45.67435,4.85886
48.80642,2.29233
48.42562,0.08437
45.35255,5.613
45.61317,4.04893
42.54544,1.73056
43.63531,3.89166
47.09189,-1.29144
48.13773,-1.95193
43.34398,3.24082
48.84411,2.21786
45.27123,1.77113
43.70208,-0.26699
49.14403,2.31069
43.56394,1.4237
45.83856,3.09111
48.83529,2.36702
46.38528,5.86672
43.59488,1.41696
48.70003,2.37676
44.8257,-0.52998
48.82889,2.31047
48.38327,2.9524
46.9955,3.14881
43.96717,3.87006
43.39707,-1.63959
50.09861,1.8608
47.24043,6.01351
47.73573,-3.3984
45.6687,6.36956
45.94701,-0.52978
48.72181,2.45078
49.00168,2.27104
43.11252,0.71066
48.89576,2.25971
46.45065,-1.17221
43.46554,1.33824
48.83947,2.16941
48.17056,-2.59772
47.1967,0.48328
44.85734,-0.58798
50.18134,3.23407
42.93587,2.22126
44.89715,-0.22666
45.47571,4.51575
43.6322,3.84964
48.88561,2.63006
46.69201,4.1375
49.88501,2.30187
45.169,1.53349
50.60926,3.03167
49.03215,3.95504
45.15262,-0.8235
43.3022,-0.33733
45.20706,1.6899
48.19745,7.22712
45.71101,4.75404
48.45429,-4.2601
48.08648,-2.91183
43.58989,1.41359
48.84264,2.34352
45.59832,5.24817
43.18758,-0.63142
43.61293,3.8519
49.04177,-1.44385
50.35483,3.28822
46.79623,4.80611
41.923,8.73274
49.44138,1.11411
43.30954,3.47193
48.92361,0.20243
48.87847,3.54626
45.86181,4.83226
47.74124,-1.17472
49.58789,2.99991
43.72136,7.26351
49.46412,1.11257
47.23653,6.00706
45.59074,5.27687
43.84016,5.03724
50.65281,3.15536
47.48651,-0.55731
48.75043,2.46508
42.85153,1.60801
50.68212,2.89287
45.1465,-0.82261
43.62918,3.43729
48.78657,2.25243
46.62693,5.22348
49.51561,0.54134
48.43636,-4.50275
47.32058,5.01641
47.05805,6.60618
44.27726,5.27122
47.42121,-0.5637
46.56941,1.98382
49.51895,0.54347
45.38773,4.29014
43.34574,3.22741
48.8773,2.40448
41.60636,8.93554
45.43932,-0.43488
43.61907,3.87174
47.22687,2.11377
45.54152,3.25246
45.7678,4.98037
48.88794,2.25838
46.00502,0.66998
49.47757,1.72269
47.45628,-0.51332
43.82434,4.32136
49.04744,2.2965
47.22601,-1.61159
48.84079,-0.89697
45.72078,3.34267
49.261,4.04999
49.17964,2.45536
48.82025,2.27937
49.14585,0.25793
43.08309,0.07866
44.78955,-0.62971
45.27083,1.77087
48.43019,-4.62295
45.93022,6.11571
48.31876,1.27679
46.04422,4.07784
48.19411,6.4315
46.99583,5.14656
47.29129,3.81467
45.02949,3.06713
45.94087,4.77143
46.51452,5.60546
47.57729,6.75647
44.63493,-0.31573
43.72933,4.17109
45.68497,-0.2977
43.95617,4.79307
46.5573,0.38638
48.89003,2.27006
50.6512,2.97288
43.59929,3.14131
48.79333,7.76897
47.51896,5.1047
50.3287,3.39385
47.86582,5.33684
43.21997,2.39172
48.08411,-4.31652
47.3325,0.69119
43.63896,5.10336
43.70706,3.83205
47.80503,3.56972
48.11825,-1.67941
49.14483,2.2904
48.68804,6.19764
45.88871,3.11269
44.86269,1.88773
47.86545,-3.90455
48.02695,-3.48845
45.05125,3.87858
44.34472,2.55595
51.0676,2.47942
48.84021,2.25862
43.2616,5.40868
48.70134,6.13965
47.24655,-0.06101
50.47863,2.49092
49.73055,1.4519
45.37091,4.81289
48.88165,2.1294
49.3539,0.06895
48.82929,2.31165
45.81245,1.23623
46.63409,1.0597
48.87666,2.38458
43.73317,7.27795
43.29062,5.39531
48.84355,2.35491
45.75896,4.80444
48.8108,2.13387
47.6172,1.34177
42.62631,2.41791
48.39219,-1.98774
49.50187,0.15086
48.67695,2.55957
47.22431,-1.57214
48.72944,7.0517
43.12073,6.12309
46.89192,1.42053
48.19955,6.46305
48.74566,2.31715
48.93067,2.36125
50.36072,3.51281
43.82183,4.32316
48.63333,6.30083
48.89298,2.32446
45.17237,1.53699
43.71857,1.48422
43.34009,3.25466
44.82408,-0.57537
44.52769,5.06432
45.2005,5.74523
43.2392,5.3621
45.18159,5.70906
47.69031,2.63483
45.78764,3.10493
46.73735,5.91057
49.11313,6.19016
48.97172,1.94785
48.83443,2.34695
49.18388,6.49951
43.66104,7.1367
48.90814,2.3104
45.79679,4.812
48.84164,2.33593
45.24187,4.66493
43.50806,4.99207
44.88896,-0.61611
43.11612,0.41346
43.24876,6.57142
42.61693,2.41695
45.74786,4.90247
43.2149,2.51358
49.08333,6.24057
49.41517,2.09905
45.77392,4.97283
48.94074,2.57241
48.55088,-0.41877
43.69669,7.22662
46.73733,2.50855
47.87677,6.76882
45.8127,1.23239
49.10905,-1.09636
49.41233,1.0844
45.62335,0.12095
49.25816,2.33337
48.58812,7.76474
50.60617,3.03638
45.64062,2.51336
46.15974,-1.14368
44.09415,3.05199
45.31945,4.7635
49.93423,2.92958
44.04244,5.63102
48.00421,-1.6966
47.63282,-1.83886
47.83842,6.09167
47.91857,0.74262
49.01054,1.93754
48.95602,1.84677
48.2022,-2.9878
44.5688,4.78309
43.3029,5.43206
43.50152,-1.46133
49.61992,0.75266
48.72197,-3.46438
48.83643,0.92188
49.19226,-0.326
47.2486,-1.51973
47.19207,5.38525
45.47364,-0.13913
47.72539,7.3435
47.07049,5.45903
45.39266,2.49763
43.31101,5.41136
45.95415,1.75012
