"type","name","features__type","features__properties__number","features__properties__name","features__properties__address","features__properties__address2","features__properties__commune","features__properties__nmarrond","features__properties__bonus","features__properties__pole","features__properties__lat","features__properties__lng","features__properties__bike_stands","features__properties__status","features__properties__available_bike_stands","features__properties__available_bikes","features__properties__availabilitycode","features__properties__availability","features__properties__banking","features__properties__gid","features__properties__last_update","features__properties__last_update_fme","features__properties__code_insee","features__properties__langue","features__properties__etat","features__properties__nature","features__properties__titre","features__properties__description","features__properties__startdate","features__properties__enddate","features__geometry__type","features__geometry__coordinates__001","features__geometry__coordinates__002"
"","","Feature","10053","Rossellini / 11 Novembre","29, Boulevard du 11 Novembre 1918","","VILLEURBANNE","53","","BRGM, ENSSIB","45.7794083136080100","4.8629021690287690","30","OPEN","21","9","1","Vert","false","984","2020-12-12 18:26:43","2020-12-12 18:27:03","69266","","","","","","","","Point","4.862902169028769","45.779408313608009"
"","","Feature","6039","Garibaldi / Vauban","Face 99, Rue Bugeaud","Place Cardinal Jean Villot","Lyon 6 ème","","","Lyon 6ème arrondissement","45.7666921938824100","4.8520859812468150","20","OPEN","4","16","1","Vert","true","1224","2020-12-12 18:25:51","2020-12-12 18:27:03","69386","","","","","","","","Point","4.852085981246815","45.766692193882413"
"","","Feature","8058","Longefer / Krüger","10, rue Paul Kruger","","Lyon 8 ème","58","","Maillage","45.7386714403411200","4.8781174224582780","16","OPEN","13","3","1","Vert","false","1011","2020-12-12 18:17:16","2020-12-12 18:27:03","69388","","","","","","","","Point","4.878117422458278","45.738671440341122"
"","","Feature","21001","La Mulatière - Aquarium","Rue Stéphane Déchant","","LA MULATIERE","","","P1_dechant","45.7273693332767340","4.8146354766198370","24","OPEN","23","1","1","Vert","true","1237","2020-12-12 18:19:36","2020-12-12 18:27:03","69142","","","","","","","","Point","4.814635476619837","45.727369333276734"
"","","Feature","2009","Confluence / Docks","41, Quai Rambaud","Rue Hrant Dink","Lyon 2 ème","9","","Confluence - Les Docks","45.7396275873331000","4.8150259306438120","26","OPEN","10","16","1","Vert","true","1025","2020-12-12 18:26:49","2020-12-12 18:27:03","69382","","","","","","","","Point","4.815025930643812","45.739627587333104"
"","","Feature","10074","Zola / Passage Rey","141, Cours Emile Zola","Angle Passage Rey","VILLEURBANNE","74","","Salle de gym des Gratte-Ciel, centre-ville","45.7700978432658200","4.8766904175328010","19","OPEN","14","5","1","Vert","false","909","2020-12-12 18:19:30","2020-12-12 18:27:03","69266","","","","","","","","Point","4.876690417532801","45.770097843265823"
"","","Feature","3024","Rockfeller / Esquirol","35, Avenue Rockefeller","Intersection Rockfeller/Esquirol","Lyon 3 ème","24","","tram, école d'infirmière, itinéraire cyclable","45.7413337186004100","4.8855408242791200","19","OPEN","17","1","1","Vert","false","808","2020-12-12 18:26:36","2020-12-12 18:27:03","69383","","","","","","","","Point","4.88554082427912","45.741333718600409"
"","","Feature","2041","Sala / Charité","41, Rue Sala","","Lyon 2 ème","41","","Centre-ville","45.7544732763091350","4.8330110846859420","21","OPEN","5","16","1","Vert","false","923","2020-12-12 18:24:14","2020-12-12 18:27:03","69382","","","","","","","","Point","4.833011084685942","45.754473276309135"
"","","Feature","10086","Anatole France","Rue Anatole France","Angle Rue de Pressensé / Flachet","VILLEURBANNE","86","","maillage, iti. Cyclable","45.7698294895997860","4.8896313501762110","10","OPEN","10","0","3","Orange","false","837","2020-12-12 18:19:03","2020-12-12 18:27:03","69266","","","","","","","","Point","4.889631350176211","45.769829489599786"
"","","Feature","7011","Berthelot / Garibaldi","111, Avenue Berthelot","Rue Garibaldi","Lyon 7 ème","11","","tram, itinéraires cyclables","45.7437118135706000","4.8473688829598505","15","OPEN","0","14","2","Bleu","true","1083","2020-12-12 18:22:39","2020-12-12 18:27:03","69387","","","","","","","","Point","4.84736888295985","45.743711813570599"
"","","Feature","7052","Parc Blandan","37, Rue du Repos (entrée parc Blandan)","","Lyon 7 ème","25","","Parc Sergent Blandan","45.7459637288850100","4.8511961077823750","25","OPEN","24","1","1","Vert","false","955","2020-12-12 18:24:37","2020-12-12 18:27:03","69387","","","","","","","","Point","4.851196107782375","45.745963728885009"
"","","Feature","6036","Musée d'Art Contemporain","Allée Achille Lignon","Face 83, Quai Charles de Gaulle","Lyon 6 ème","36","","Cinémas, Cité internationale, Musée d'art contemporain, parc","45.7838816142830540","4.8521404034163990","23","OPEN","20","3","1","Vert","true","1068","2020-12-12 18:22:55","2020-12-12 18:27:03","69386","","","","","","","","Point","4.852140403416399","45.783881614283054"
"","","Feature","7005","Debourg","259t, Avenue Jean Jaurès","","Lyon 7 ème","5","","Métro B, ENS lettres, bibliothèque","45.7317535548177500","4.8339617941232040","20","OPEN","9","11","1","Vert","true","950","2020-12-12 18:21:29","2020-12-12 18:27:03","69387","","","","","","","","Point","4.833961794123204","45.73175355481775"
"","","Feature","8052","Clinique Montplaisir","2, Avenue des Frères Lumière","","Lyon 8 ème","52","","Clinique, renforcement 8001","45.7470826073157540","4.8601908518953540","16","OPEN","15","1","1","Vert","false","1013","2020-12-12 18:24:07","2020-12-12 18:27:03","69388","","","","","","","","Point","4.860190851895354","45.747082607315754"
"","","Feature","6011","Mairie du 6e","58, Rue de Sèze","angle Rue Boileau","Lyon 6 ème","11","","Mairie du 6e","45.7684041683728250","4.8494967237845850","23","OPEN","0","22","2","Bleu","false","836","2020-12-12 18:21:11","2020-12-12 18:27:03","69386","","","","","","","","Point","4.849496723784585","45.768404168372825"
"","","Feature","7061","Jaurès / Université","53, Rue de l'Université","","Lyon 7 ème","61","","Coeur de quartier, commerces","45.7485374331787540","4.8432493337468060","20","OPEN","14","6","1","Vert","false","772","2020-12-12 18:22:06","2020-12-12 18:27:03","69387","","","","","","","","Point","4.843249333746806","45.748537433178754"
"","","Feature","10013","Cusset","13, Rue Pierre Voyant","","VILLEURBANNE","13","","métro A, centre quartier","45.7650422669277150","4.9011328928202980","20","OPEN","16","3","1","Vert","false","876","2020-12-12 18:20:32","2020-12-12 18:27:03","69266","","","","","","","","Point","4.901132892820298","45.765042266927715"
"","","Feature","2005","Confluence Hôtel de Région","101, Cours Charlemagne","Esplanade François Miterrand","Lyon 2 ème","5","","Hôtel de Région - Tram Montrochet - Pôle de loisirs","45.7405383152039140","4.8191795184368050","32","CLOSED","3","0","3","Orange","true","1006","2020-12-12 18:25:55","2020-12-12 18:27:03","69382","","","","","","","","Point","4.819179518436805","45.740538315203914"
"","","Feature","1032","Pizay","Face 22, Rue Pizay","","Lyon 1 er","32",""," ","45.7672004172203160","4.8363916853563290","22","OPEN","1","21","1","Vert","true","1100","2020-12-12 18:20:25","2020-12-12 18:27:03","69381","","","","","","","","Point","4.836391685356329","45.767200417220316"
"","","Feature","4022","Place de la Croix-Rousse","Place de la Croix-Rousse","A proximité de la Grande Rue","Lyon 4 ème","22","","Place de le Croix-Rousse, commerces, Métro","45.7760751390863940","4.8325539207543910","21","OPEN","20","0","3","Orange","false","1105","2020-12-12 18:20:58","2020-12-12 18:27:03","69384","","","","","","","","Point","4.832553920754391","45.776075139086394"
"","","Feature","10047","Lherminier / Pressensé","2, Avenue du Commandant Lherminier","Angle Rue Francis de Pressensé","VILLEURBANNE","47","","itinéraires cyclables","45.7711232449440600","4.8850235984658990","15","OPEN","11","4","1","Vert","false","828","2020-12-12 18:19:21","2020-12-12 18:27:03","69266","","","","","","","","Point","4.885023598465899","45.771123244944057"
"","","Feature","10049","Pressensé","294, Rue Francis de Préssensé"," ","VILLEURBANNE","49","","Collège Les Iris","45.7691684753850800","4.8967695846255020","16","OPEN","0","16","2","Bleu","false","869","2020-12-12 18:17:57","2020-12-12 18:27:03","69266","","","","","","","","Point","4.896769584625502","45.769168475385079"
"","","Feature","7021","Challemel Lacour / Gerland","Face 174, Rue de Gerland","58, Rue Challemel Lacour","Lyon 7 ème","21","","maillage","45.7298058652087600","4.8381384383404170","12","OPEN","11","1","1","Vert","false","1064","2020-12-12 18:24:02","2020-12-12 18:27:03","69387","","","","","","","","Point","4.838138438340417","45.72980586520876"
"","","Feature","10027","Mairie de Villeurbanne","3, Avenue Aristide Briand","En face de l'entrée de la mairie","VILLEURBANNE","27","","Mairie de Villeurbanne, TNP, itinéraire cyclable","45.7668306064525150","4.8798938672774600","26","OPEN","23","3","1","Vert","true","821","2020-12-12 18:18:37","2020-12-12 18:27:03","69266","","","","","","","","Point","4.87989386727746","45.766830606452515"
"","","Feature","1012","Ampère / Bourse","29, Rue de la Bourse","Long du Collège-Lycée Ampère","Lyon 1 er","12","","Lycée Ampère et rue de la Bourse, Métro A","45.7658113822040560","4.8368957414205630","26","OPEN","2","24","1","Vert","true","1066","2020-12-12 18:25:17","2020-12-12 18:27:03","69381","","","","","","","","Point","4.836895741420563","45.765811382204056"
"","","Feature","10036","Stalingrad","123, Boulevard Stalingrad","angle rue Chaplin","VILLEURBANNE","36","","entreprises, itinéraires cyclables","45.7743568286995240","4.8591545857608360","21","OPEN","2","19","1","Vert","false","824","2020-12-12 18:26:37","2020-12-12 18:27:03","69266","","","","","","","","Point","4.859154585760836","45.774356828699524"
"","","Feature","2018","Hôtel Dieu / Pont de la Guillotière","Face 26, Quai Jules courmont","","Lyon 2 ème","18","","Hôtel Dieu","45.7574175254861500","4.8370623720287080","50","OPEN","13","36","1","Vert","true","1292","2020-12-12 18:26:49","2020-12-12 18:27:03","69382","","","","","","","","Point","4.837062372028708","45.757417525486147"
"","","Feature","7057","Jaurès / Bollier","218, Avenue Jean Jaurès","","Lyon 7 ème","57","","ENS Lettres","45.7347254902347200","4.8354967607642045","34","OPEN","32","2","1","Vert","true","765","2020-12-12 18:24:21","2020-12-12 18:27:03","69387","","","","","","","","Point","4.835496760764205","45.734725490234723"
"","","Feature","3004","Bourse du travail","Face 74, Rue de la Part-Dieu","Face place eugène Varlin","Lyon 3 ème","4","","métro B, coeur quartier","45.7596453088344100","4.8482665597083550","27","OPEN","9","18","1","Vert","true","855","2020-12-12 18:25:19","2020-12-12 18:27:03","69383","","","","","","","","Point","4.848266559708355","45.759645308834408"
"","","Feature","3016","Liberté / Part-Dieu","34, Cours de la Liberté","angle rue de la Part-Dieu","Lyon 3 ème","16","","tram, commerces, itinéraire cyclable","45.7593422663364460","4.8422275870211210","18","OPEN","7","11","1","Vert","true","1048","2020-12-12 18:26:22","2020-12-12 18:27:03","69383","","","","","","","","Point","4.842227587021121","45.759342266336446"
"","","Feature","2003","Place Ampère","18, Rue Bourgelat","angle rue Henry 4","Lyon 2 ème","3","","métro A, coeur quartier, commerces","45.7530445329675700","4.8282455395393775","10","OPEN","0","10","2","Bleu","false","1073","2020-12-12 18:22:42","2020-12-12 18:27:03","69382","","","","","","","","Point","4.828245539539378","45.753044532967571"
