stop_id,stop_name,stop_lat,stop_lon,location_type
1539,FOLLEREAU SAUZEA,45.49224831,4.451019162,0
1540,SAPINS,45.49456744,4.445925417,0
2170,SAPINS,45.49456086,4.445797204,0
1544,CHAVANNE BOURG,45.49223572,4.48611734,0
1546,PEYRARD HAUT,45.4917514,4.515771858,0
1547,LE COLOMBIER,45.49195366,4.510469552,0
1548,ROUTE AERODROME,45.49094691,4.537991838,0
1549,PLANEZE,45.4923303,4.54086206,0
1550,PLAT DU GIER,45.49159073,4.554588192,0
1551,PLAT DU GIER,45.49185946,4.555558676,0
1552,LES ROUARDES,45.49349353,4.558925742,0
1553,LES ROUARDES,45.49375348,4.559883132,0
1554,ECOLE MATERNELLE,45.49351852,4.566706984,0
1555,ECOLE MATERNELLE,45.49331328,4.5670698,0
1556,ZI LES FRARIES,45.48997739,4.570070143,0
1557,ZI LES FRARIES,45.49036868,4.569855628,0
1559,MAISON FORTE,45.49452126,4.598317059,0
2358,POMPIERS,45.49886099,4.241930336,0
2359,POMPIERS,45.4987498,4.242118448,0
1560,GARE FOUILLOUSE,45.49874279,4.319101548,0
1561,GARE FOUILLOUSE,45.49880574,4.319103805,0
1562,GRANDES MAISONS,45.49673981,4.319899854,0
1563,GRANDES MAISONS,45.49690638,4.320148957,0
1564,4 VENTS,45.49482151,4.383375058,0
1565,LE GOUTTON,45.49737245,4.383149595,0
1567,LE GARRAS,45.4984639,4.434467189,0
1598,LE GARRAS,45.49900252,4.434538819,0
1568,LES ALOUETTES,45.4961866,4.434969403,0
1569,LES ALOUETTES,45.49657786,4.434741121,0
1570,LA DONZELLIERE,45.49808414,4.504823913,0
1571,BOURDON,45.49741411,4.52442842,0
1572,FAUBOURG COUZON,45.49825788,4.554676555,0
1574,FAUBOURG COUZON,45.49804484,4.554527235,0
1573,PUITS ST-JEAN,45.49786623,4.557629841,0
1575,PUITS ST-JEAN,45.49806147,4.558674281,0
1576,BAS FAUB. COUZON,45.49661127,4.556018166,0
1577,BAS FAUB. COUZON,45.49672538,4.556163516,0
1578,LA BACHASSE,45.49598185,4.564131787,0
1579,LA BACHASSE,45.49596463,4.564092702,0
1580,LA BACHASSE,45.49688112,4.564168025,0
1581,LA BACHASSE,45.4973976,4.564444786,0
1584,LES 4 CHEMINS,45.49806883,4.580379182,0
1585,LES 4 CHEMINS,45.49798173,4.580682788,0
